datetime,GSM_X_RE,GSM_Y_RE,GSM_Z_RE
2008-12-07 00:00:00,2.88,-0.31,1.09
2008-12-07 00:01:00,2.85,-0.27,1.09
2008-12-07 00:02:00,2.82,-0.22,1.09
2008-12-07 00:03:00,2.78,-0.18,1.09
2008-12-07 00:04:00,2.75,-0.14,1.09
2008-12-07 00:05:00,2.72,-0.09,1.09
2008-12-07 00:06:00,2.69,-0.05,1.09
2008-12-07 00:07:00,2.65,-0.01,1.08
2008-12-07 00:08:00,2.62,0.04,1.08
2008-12-07 00:09:00,2.58,0.08,1.08
2008-12-07 00:10:00,2.55,0.12,1.07
2008-12-07 00:11:00,2.51,0.17,1.07
2008-12-07 00:12:00,2.47,0.21,1.07
2008-12-07 00:13:00,2.44,0.25,1.06
2008-12-07 00:14:00,2.4,0.3,1.06
2008-12-07 00:15:00,2.36,0.34,1.05
2008-12-07 00:16:00,2.32,0.38,1.05
2008-12-07 00:17:00,2.28,0.42,1.04
2008-12-07 00:18:00,2.24,0.47,1.04
2008-12-07 00:19:00,2.19,0.51,1.03
2008-12-07 00:20:00,2.15,0.55,1.02
2008-12-07 00:21:00,2.11,0.59,1.02
2008-12-07 00:22:00,2.06,0.63,1.01
2008-12-07 00:23:00,2.02,0.68,1.0
2008-12-07 00:24:00,1.97,0.72,0.99
2008-12-07 00:25:00,1.92,0.76,0.98
2008-12-07 00:26:00,1.87,0.8,0.98
2008-12-07 00:27:00,1.82,0.84,0.97
2008-12-07 00:28:00,1.77,0.88,0.95
2008-12-07 00:29:00,1.72,0.92,0.94
2008-12-07 00:30:00,1.67,0.96,0.93
2008-12-07 00:31:00,1.62,1.0,0.92
2008-12-07 00:32:00,1.56,1.03,0.91
2008-12-07 00:33:00,1.51,1.07,0.89
2008-12-07 00:34:00,1.45,1.11,0.88
2008-12-07 00:35:00,1.4,1.14,0.87
2008-12-07 00:36:00,1.34,1.18,0.85
2008-12-07 00:37:00,1.28,1.21,0.84
2008-12-07 00:38:00,1.22,1.24,0.82
2008-12-07 00:39:00,1.16,1.28,0.8
2008-12-07 00:40:00,1.1,1.31,0.79
2008-12-07 00:41:00,1.04,1.34,0.77
2008-12-07 00:42:00,0.97,1.37,0.75
2008-12-07 00:43:00,0.91,1.39,0.73
2008-12-07 00:44:00,0.85,1.42,0.71
2008-12-07 00:45:00,0.78,1.44,0.69
2008-12-07 00:46:00,0.71,1.47,0.67
2008-12-07 00:47:00,0.65,1.49,0.64
2008-12-07 00:48:00,0.58,1.51,0.62
2008-12-07 00:49:00,0.51,1.53,0.6
2008-12-07 00:50:00,0.44,1.55,0.57
2008-12-07 00:51:00,0.37,1.56,0.55
2008-12-07 00:52:00,0.3,1.57,0.52
2008-12-07 00:53:00,0.23,1.59,0.49
2008-12-07 00:54:00,0.16,1.6,0.47
2008-12-07 00:55:00,0.09,1.6,0.44
2008-12-07 00:56:00,0.02,1.61,0.41
2008-12-07 00:57:00,-0.05,1.61,0.38
2008-12-07 00:58:00,-0.12,1.62,0.35
2008-12-07 00:59:00,-0.19,1.62,0.32
2008-12-07 01:00:00,-0.26,1.61,0.29
2008-12-07 01:01:00,-0.33,1.61,0.26
2008-12-07 01:02:00,-0.4,1.6,0.23
2008-12-07 01:03:00,-0.47,1.6,0.2
2008-12-07 01:04:00,-0.54,1.59,0.17
2008-12-07 01:05:00,-0.61,1.58,0.14
2008-12-07 01:06:00,-0.68,1.56,0.11
2008-12-07 01:07:00,-0.74,1.55,0.08
2008-12-07 01:08:00,-0.81,1.53,0.05
2008-12-07 01:09:00,-0.88,1.51,0.01
2008-12-07 01:10:00,-0.94,1.49,-0.02
2008-12-07 01:11:00,-1.0,1.47,-0.05
2008-12-07 01:12:00,-1.06,1.45,-0.08
2008-12-07 01:13:00,-1.13,1.42,-0.11
2008-12-07 01:14:00,-1.19,1.4,-0.14
2008-12-07 01:15:00,-1.24,1.37,-0.18
2008-12-07 01:16:00,-1.3,1.34,-0.21
2008-12-07 01:17:00,-1.36,1.31,-0.24
2008-12-07 01:18:00,-1.42,1.28,-0.27
2008-12-07 01:19:00,-1.47,1.25,-0.3
2008-12-07 01:20:00,-1.52,1.22,-0.33
2008-12-07 01:21:00,-1.58,1.18,-0.36
2008-12-07 01:22:00,-1.63,1.15,-0.39
2008-12-07 01:23:00,-1.68,1.12,-0.42
2008-12-07 01:24:00,-1.73,1.08,-0.45
2008-12-07 01:25:00,-1.78,1.04,-0.47
2008-12-07 01:26:00,-1.82,1.01,-0.5
2008-12-07 01:27:00,-1.87,0.97,-0.53
