datetime,GSM_X_RE,GSM_Y_RE,GSM_Z_RE
2013-04-23 08:16:00,-0.04,1.17,0.01
2013-04-23 08:17:00,-0.13,1.17,0.04
2013-04-23 08:18:00,-0.22,1.15,0.06
2013-04-23 08:19:00,-0.31,1.14,0.09
2013-04-23 08:20:00,-0.39,1.12,0.11
2013-04-23 08:21:00,-0.48,1.1,0.13
2013-04-23 08:22:00,-0.56,1.07,0.16
2013-04-23 08:23:00,-0.65,1.04,0.18
2013-04-23 08:24:00,-0.73,1.01,0.2
2013-04-23 08:25:00,-0.8,0.97,0.22
2013-04-23 08:26:00,-0.88,0.93,0.24
2013-04-23 08:27:00,-0.95,0.89,0.26
2013-04-23 08:28:00,-1.03,0.85,0.28
2013-04-23 08:29:00,-1.09,0.81,0.3
2013-04-23 08:30:00,-1.16,0.76,0.32
2013-04-23 08:31:00,-1.23,0.71,0.34
2013-04-23 08:32:00,-1.29,0.66,0.36
2013-04-23 08:33:00,-1.35,0.61,0.37
2013-04-23 08:34:00,-1.41,0.56,0.39
2013-04-23 08:35:00,-1.46,0.51,0.41
2013-04-23 08:36:00,-1.52,0.46,0.42
2013-04-23 08:37:00,-1.57,0.41,0.44
2013-04-23 08:38:00,-1.62,0.35,0.45
2013-04-23 08:39:00,-1.67,0.3,0.47
2013-04-23 08:40:00,-1.72,0.25,0.48
2013-04-23 08:41:00,-1.76,0.19,0.49
2013-04-23 08:42:00,-1.81,0.14,0.51
2013-04-23 08:43:00,-1.85,0.08,0.52
2013-04-23 08:44:00,-1.89,0.03,0.53
2013-04-23 08:45:00,-1.93,-0.02,0.54
2013-04-23 08:46:00,-1.97,-0.08,0.55
2013-04-23 08:47:00,-2.01,-0.13,0.57
2013-04-23 08:48:00,-2.04,-0.19,0.58
2013-04-23 08:49:00,-2.08,-0.24,0.59
2013-04-23 08:50:00,-2.11,-0.3,0.6
2013-04-23 08:51:00,-2.14,-0.35,0.61
2013-04-23 08:52:00,-2.18,-0.4,0.62
2013-04-23 08:53:00,-2.21,-0.46,0.63
2013-04-23 08:54:00,-2.24,-0.51,0.64
2013-04-23 08:55:00,-2.27,-0.56,0.64
2013-04-23 08:56:00,-2.29,-0.62,0.65
2013-04-23 08:57:00,-2.32,-0.67,0.66
2013-04-23 08:58:00,-2.35,-0.72,0.67
2013-04-23 08:59:00,-2.37,-0.77,0.68
2013-04-23 09:00:00,-2.4,-0.82,0.69
2013-04-23 09:01:00,-2.42,-0.88,0.7
2013-04-23 09:02:00,-2.44,-0.93,0.7
2013-04-23 09:03:00,-2.47,-0.98,0.71
2013-04-23 09:04:00,-2.49,-1.03,0.72
2013-04-23 09:05:00,-2.51,-1.08,0.73
2013-04-23 09:06:00,-2.53,-1.13,0.73
2013-04-23 09:07:00,-2.55,-1.18,0.74
2013-04-23 09:08:00,-2.57,-1.23,0.75
2013-04-23 09:09:00,-2.59,-1.28,0.75
2013-04-23 09:10:00,-2.61,-1.33,0.76
2013-04-23 09:11:00,-2.62,-1.38,0.77
2013-04-23 09:12:00,-2.64,-1.43,0.77
2013-04-23 09:13:00,-2.66,-1.47,0.78
2013-04-23 09:14:00,-2.67,-1.52,0.79
2013-04-23 09:15:00,-2.69,-1.57,0.79
2013-04-23 09:16:00,-2.71,-1.62,0.8
2013-04-23 09:17:00,-2.72,-1.67,0.8
2013-04-23 09:18:00,-2.74,-1.71,0.81
2013-04-23 09:19:00,-2.75,-1.76,0.81
2013-04-23 09:20:00,-2.76,-1.81,0.82
2013-04-23 09:21:00,-2.78,-1.85,0.83
2013-04-23 09:22:00,-2.79,-1.9,0.83
2013-04-23 09:23:00,-2.8,-1.94,0.84
2013-04-23 09:24:00,-2.81,-1.99,0.84
2013-04-23 09:25:00,-2.83,-2.03,0.85
2013-04-23 09:26:00,-2.84,-2.08,0.85
2013-04-23 09:27:00,-2.85,-2.12,0.86
2013-04-23 09:28:00,-2.86,-2.17,0.86
2013-04-23 09:29:00,-2.87,-2.21,0.87
2013-04-23 09:30:00,-2.88,-2.26,0.87
2013-04-23 09:31:00,-2.89,-2.3,0.88
2013-04-23 09:32:00,-2.9,-2.34,0.88
2013-04-23 09:33:00,-2.91,-2.39,0.89
2013-04-23 09:34:00,-2.92,-2.43,0.89
2013-04-23 09:35:00,-2.93,-2.47,0.89
2013-04-23 09:36:00,-2.94,-2.52,0.9
2013-04-23 09:37:00,-2.95,-2.56,0.9
2013-04-23 09:38:00,-2.95,-2.6,0.91
2013-04-23 09:39:00,-2.96,-2.64,0.91
2013-04-23 09:40:00,-2.97,-2.69,0.92
2013-04-23 09:41:00,-2.98,-2.73,0.92
2013-04-23 09:42:00,-2.98,-2.77,0.92
2013-04-23 09:43:00,-2.99,-2.81,0.93
2013-04-23 09:44:00,-3.0,-2.85,0.93
2013-04-23 09:45:00,-3.0,-2.89,0.93
2013-04-23 09:46:00,-3.01,-2.93,0.94
2013-04-23 09:47:00,-3.02,-2.97,0.94
2013-04-23 09:48:00,-3.02,-3.01,0.95
2013-04-23 09:49:00,-3.03,-3.05,0.95
2013-04-23 09:50:00,-3.03,-3.09,0.95
2013-04-23 09:51:00,-3.04,-3.13,0.96
2013-04-23 09:52:00,-3.04,-3.17,0.96
2013-04-23 09:53:00,-3.05,-3.21,0.96
2013-04-23 09:54:00,-3.05,-3.25,0.97
2013-04-23 09:55:00,-3.06,-3.29,0.97
2013-04-23 09:56:00,-3.06,-3.33,0.97
2013-04-23 09:57:00,-3.07,-3.37,0.98
2013-04-23 09:58:00,-3.07,-3.4,0.98
2013-04-23 09:59:00,-3.08,-3.44,0.98
2013-04-23 10:00:00,-3.08,-3.48,0.98
2013-04-23 10:01:00,-3.08,-3.52,0.99
2013-04-23 10:02:00,-3.09,-3.56,0.99
2013-04-23 10:03:00,-3.09,-3.59,0.99
2013-04-23 10:04:00,-3.09,-3.63,1.0
2013-04-23 10:05:00,-3.1,-3.67,1.0
2013-04-23 10:06:00,-3.1,-3.7,1.0
2013-04-23 10:07:00,-3.1,-3.74,1.0
2013-04-23 10:08:00,-3.1,-3.78,1.01
2013-04-23 10:09:00,-3.11,-3.81,1.01
