datetime,GSM_X_RE,GSM_Y_RE,GSM_Z_RE
2018-01-10 09:31:00,0.53,1.12,-0.01
2018-01-10 09:32:00,0.46,1.15,-0.06
2018-01-10 09:33:00,0.39,1.18,-0.1
2018-01-10 09:34:00,0.31,1.21,-0.15
2018-01-10 09:35:00,0.24,1.23,-0.19
2018-01-10 09:36:00,0.16,1.25,-0.23
2018-01-10 09:37:00,0.08,1.26,-0.27
2018-01-10 09:38:00,0.01,1.27,-0.32
2018-01-10 09:39:00,-0.07,1.28,-0.36
2018-01-10 09:40:00,-0.15,1.29,-0.4
2018-01-10 09:41:00,-0.22,1.29,-0.44
2018-01-10 09:42:00,-0.3,1.29,-0.47
2018-01-10 09:43:00,-0.37,1.29,-0.51
2018-01-10 09:44:00,-0.45,1.29,-0.55
2018-01-10 09:45:00,-0.52,1.28,-0.58
2018-01-10 09:46:00,-0.6,1.27,-0.62
2018-01-10 09:47:00,-0.67,1.26,-0.65
2018-01-10 09:48:00,-0.74,1.25,-0.68
2018-01-10 09:49:00,-0.81,1.23,-0.71
2018-01-10 09:50:00,-0.88,1.22,-0.75
2018-01-10 09:51:00,-0.95,1.2,-0.78
2018-01-10 09:52:00,-1.01,1.18,-0.8
2018-01-10 09:53:00,-1.08,1.16,-0.83
2018-01-10 09:54:00,-1.14,1.14,-0.86
2018-01-10 09:55:00,-1.21,1.12,-0.89
2018-01-10 09:56:00,-1.27,1.09,-0.91
2018-01-10 09:57:00,-1.33,1.07,-0.94
2018-01-10 09:58:00,-1.39,1.05,-0.96
2018-01-10 09:59:00,-1.45,1.02,-0.98
2018-01-10 10:00:00,-1.51,0.99,-1.01
2018-01-10 10:01:00,-1.57,0.97,-1.03
2018-01-10 10:02:00,-1.63,0.94,-1.05
2018-01-10 10:03:00,-1.68,0.91,-1.07
2018-01-10 10:04:00,-1.74,0.88,-1.09
2018-01-10 10:05:00,-1.79,0.85,-1.11
2018-01-10 10:06:00,-1.85,0.83,-1.13
2018-01-10 10:07:00,-1.9,0.8,-1.15
2018-01-10 10:08:00,-1.95,0.77,-1.17
2018-01-10 10:09:00,-2.0,0.74,-1.19
2018-01-10 10:10:00,-2.05,0.71,-1.2
2018-01-10 10:11:00,-2.1,0.67,-1.22
2018-01-10 10:12:00,-2.15,0.64,-1.24
2018-01-10 10:13:00,-2.2,0.61,-1.25
2018-01-10 10:14:00,-2.25,0.58,-1.27
2018-01-10 10:15:00,-2.29,0.55,-1.28
2018-01-10 10:16:00,-2.34,0.52,-1.3
2018-01-10 10:17:00,-2.39,0.49,-1.31
2018-01-10 10:18:00,-2.43,0.45,-1.33
2018-01-10 10:19:00,-2.48,0.42,-1.34
2018-01-10 10:20:00,-2.52,0.39,-1.36
2018-01-10 10:21:00,-2.56,0.36,-1.37
2018-01-10 10:22:00,-2.6,0.33,-1.38
2018-01-10 10:23:00,-2.65,0.29,-1.39
2018-01-10 10:24:00,-2.69,0.26,-1.41
2018-01-10 10:25:00,-2.73,0.23,-1.42
2018-01-10 10:26:00,-2.77,0.2,-1.43
2018-01-10 10:27:00,-2.81,0.16,-1.44
2018-01-10 10:28:00,-2.85,0.13,-1.45
2018-01-10 10:29:00,-2.89,0.1,-1.46
2018-01-10 10:30:00,-2.93,0.07,-1.48
2018-01-10 10:31:00,-2.97,0.03,-1.49
2018-01-10 10:32:00,-3.0,0.0,-1.5
2018-01-10 10:33:00,-3.04,-0.03,-1.51
2018-01-10 10:34:00,-3.08,-0.06,-1.52
2018-01-10 10:35:00,-3.11,-0.1,-1.53
2018-01-10 10:36:00,-3.15,-0.13,-1.54
2018-01-10 10:37:00,-3.18,-0.16,-1.54
2018-01-10 10:38:00,-3.22,-0.19,-1.55
2018-01-10 10:39:00,-3.25,-0.23,-1.56
2018-01-10 10:40:00,-3.29,-0.26,-1.57
2018-01-10 10:41:00,-3.32,-0.29,-1.58
2018-01-10 10:42:00,-3.36,-0.32,-1.59
2018-01-10 10:43:00,-3.39,-0.36,-1.6
2018-01-10 10:44:00,-3.42,-0.39,-1.6
2018-01-10 10:45:00,-3.46,-0.42,-1.61
2018-01-10 10:46:00,-3.49,-0.45,-1.62
2018-01-10 10:47:00,-3.52,-0.49,-1.63
2018-01-10 10:48:00,-3.55,-0.52,-1.64
2018-01-10 10:49:00,-3.58,-0.55,-1.64
2018-01-10 10:50:00,-3.61,-0.58,-1.65
2018-01-10 10:51:00,-3.64,-0.61,-1.66
2018-01-10 10:52:00,-3.68,-0.64,-1.66
2018-01-10 10:53:00,-3.71,-0.68,-1.67
2018-01-10 10:54:00,-3.73,-0.71,-1.68
2018-01-10 10:55:00,-3.76,-0.74,-1.68
2018-01-10 10:56:00,-3.79,-0.77,-1.69
2018-01-10 10:57:00,-3.82,-0.8,-1.7
2018-01-10 10:58:00,-3.85,-0.83,-1.7
2018-01-10 10:59:00,-3.88,-0.87,-1.71
2018-01-10 11:00:00,-3.91,-0.9,-1.71
2018-01-10 11:01:00,-3.94,-0.93,-1.72
2018-01-10 11:02:00,-3.96,-0.96,-1.73
2018-01-10 11:03:00,-3.99,-0.99,-1.73
2018-01-10 11:04:00,-4.02,-1.02,-1.74
2018-01-10 11:05:00,-4.04,-1.05,-1.74
2018-01-10 11:06:00,-4.07,-1.08,-1.75
2018-01-10 11:07:00,-4.1,-1.12,-1.75
2018-01-10 11:08:00,-4.12,-1.15,-1.76
2018-01-10 11:09:00,-4.15,-1.18,-1.76
2018-01-10 11:10:00,-4.18,-1.21,-1.77
2018-01-10 11:11:00,-4.2,-1.24,-1.77
2018-01-10 11:12:00,-4.23,-1.27,-1.78
2018-01-10 11:13:00,-4.25,-1.3,-1.78
2018-01-10 11:14:00,-4.28,-1.33,-1.79
2018-01-10 11:15:00,-4.3,-1.36,-1.79
2018-01-10 11:16:00,-4.33,-1.39,-1.8
2018-01-10 11:17:00,-4.35,-1.42,-1.8
2018-01-10 11:18:00,-4.37,-1.45,-1.8
2018-01-10 11:19:00,-4.4,-1.48,-1.81
2018-01-10 11:20:00,-4.42,-1.51,-1.81
2018-01-10 11:21:00,-4.44,-1.54,-1.82
2018-01-10 11:22:00,-4.47,-1.57,-1.82
2018-01-10 11:23:00,-4.49,-1.6,-1.83
2018-01-10 11:24:00,-4.51,-1.63,-1.83
2018-01-10 11:25:00,-4.54,-1.66,-1.83
2018-01-10 11:26:00,-4.56,-1.69,-1.84
2018-01-10 11:27:00,-4.58,-1.72,-1.84
2018-01-10 11:28:00,-4.6,-1.75,-1.84
2018-01-10 11:29:00,-4.62,-1.78,-1.85
2018-01-10 11:30:00,-4.65,-1.81,-1.85
2018-01-10 11:31:00,-4.67,-1.83,-1.86
2018-01-10 11:32:00,-4.69,-1.86,-1.86
2018-01-10 11:33:00,-4.71,-1.89,-1.86
2018-01-10 11:34:00,-4.73,-1.92,-1.87
2018-01-10 11:35:00,-4.75,-1.95,-1.87
2018-01-10 11:36:00,-4.77,-1.98,-1.87
2018-01-10 11:37:00,-4.79,-2.01,-1.88
2018-01-10 11:38:00,-4.81,-2.04,-1.88
2018-01-10 11:39:00,-4.84,-2.06,-1.88
2018-01-10 11:40:00,-4.86,-2.09,-1.88
2018-01-10 11:41:00,-4.88,-2.12,-1.89
2018-01-10 11:42:00,-4.9,-2.15,-1.89
2018-01-10 11:43:00,-4.92,-2.18,-1.89
2018-01-10 11:44:00,-4.93,-2.21,-1.9
2018-01-10 11:45:00,-4.95,-2.23,-1.9
2018-01-10 11:46:00,-4.97,-2.26,-1.9
2018-01-10 11:47:00,-4.99,-2.29,-1.91
2018-01-10 11:48:00,-5.01,-2.32,-1.91
2018-01-10 11:49:00,-5.03,-2.35,-1.91
2018-01-10 11:50:00,-5.05,-2.37,-1.91
2018-01-10 11:51:00,-5.07,-2.4,-1.92
2018-01-10 11:52:00,-5.09,-2.43,-1.92
2018-01-10 11:53:00,-5.1,-2.46,-1.92
2018-01-10 11:54:00,-5.12,-2.48,-1.92
2018-01-10 11:55:00,-5.14,-2.51,-1.93
2018-01-10 11:56:00,-5.16,-2.54,-1.93
2018-01-10 11:57:00,-5.18,-2.57,-1.93
2018-01-10 11:58:00,-5.19,-2.59,-1.93
2018-01-10 11:59:00,-5.21,-2.62,-1.94
2018-01-10 12:00:00,-5.23,-2.65,-1.94
2018-01-10 12:01:00,-5.25,-2.67,-1.94
2018-01-10 12:02:00,-5.26,-2.7,-1.94
2018-01-10 12:03:00,-5.28,-2.73,-1.95
2018-01-10 12:04:00,-5.3,-2.75,-1.95
2018-01-10 12:05:00,-5.31,-2.78,-1.95
2018-01-10 12:06:00,-5.33,-2.81,-1.95
2018-01-10 12:07:00,-5.35,-2.83,-1.96
2018-01-10 12:08:00,-5.36,-2.86,-1.96
2018-01-10 12:09:00,-5.38,-2.89,-1.96
2018-01-10 12:10:00,-5.4,-2.91,-1.96
2018-01-10 12:11:00,-5.41,-2.94,-1.96
2018-01-10 12:12:00,-5.43,-2.97,-1.97
2018-01-10 12:13:00,-5.45,-2.99,-1.97
2018-01-10 12:14:00,-5.46,-3.02,-1.97
2018-01-10 12:15:00,-5.48,-3.04,-1.97
2018-01-10 12:16:00,-5.49,-3.07,-1.98
2018-01-10 12:17:00,-5.51,-3.1,-1.98
2018-01-10 12:18:00,-5.52,-3.12,-1.98
2018-01-10 12:19:00,-5.54,-3.15,-1.98
2018-01-10 12:20:00,-5.55,-3.17,-1.98
2018-01-10 12:21:00,-5.57,-3.2,-1.99
2018-01-10 12:22:00,-5.58,-3.22,-1.99
2018-01-10 12:23:00,-5.6,-3.25,-1.99
2018-01-10 12:24:00,-5.61,-3.27,-1.99
2018-01-10 12:25:00,-5.63,-3.3,-1.99
2018-01-10 12:26:00,-5.64,-3.33,-2.0
2018-01-10 12:27:00,-5.66,-3.35,-2.0
2018-01-10 12:28:00,-5.67,-3.38,-2.0
2018-01-10 12:29:00,-5.69,-3.4,-2.0
2018-01-10 12:30:00,-5.7,-3.43,-2.0
2018-01-10 12:31:00,-5.71,-3.45,-2.01
2018-01-10 12:32:00,-5.73,-3.48,-2.01
2018-01-10 12:33:00,-5.74,-3.5,-2.01
2018-01-10 12:34:00,-5.76,-3.53,-2.01
2018-01-10 12:35:00,-5.77,-3.55,-2.01
2018-01-10 12:36:00,-5.78,-3.57,-2.02
2018-01-10 12:37:00,-5.8,-3.6,-2.02
2018-01-10 12:38:00,-5.81,-3.62,-2.02
2018-01-10 12:39:00,-5.82,-3.65,-2.02
2018-01-10 12:40:00,-5.84,-3.67,-2.02
2018-01-10 12:41:00,-5.85,-3.7,-2.03
2018-01-10 12:42:00,-5.86,-3.72,-2.03
2018-01-10 12:43:00,-5.88,-3.75,-2.03
2018-01-10 12:44:00,-5.89,-3.77,-2.03
2018-01-10 12:45:00,-5.9,-3.79,-2.03
2018-01-10 12:46:00,-5.92,-3.82,-2.04
2018-01-10 12:47:00,-5.93,-3.84,-2.04
2018-01-10 12:48:00,-5.94,-3.87,-2.04
2018-01-10 12:49:00,-5.95,-3.89,-2.04
2018-01-10 12:50:00,-5.97,-3.91,-2.04
2018-01-10 12:51:00,-5.98,-3.94,-2.05
2018-01-10 12:52:00,-5.99,-3.96,-2.05
2018-01-10 12:53:00,-6.0,-3.98,-2.05
2018-01-10 12:54:00,-6.02,-4.01,-2.05
2018-01-10 12:55:00,-6.03,-4.03,-2.05
2018-01-10 12:56:00,-6.04,-4.05,-2.06
2018-01-10 12:57:00,-6.05,-4.08,-2.06
2018-01-10 12:58:00,-6.06,-4.1,-2.06
2018-01-10 12:59:00,-6.08,-4.12,-2.06
2018-01-10 13:00:00,-6.09,-4.15,-2.06
2018-01-10 13:01:00,-6.1,-4.17,-2.07
2018-01-10 13:02:00,-6.11,-4.19,-2.07
2018-01-10 13:03:00,-6.12,-4.22,-2.07
2018-01-10 13:04:00,-6.13,-4.24,-2.07
2018-01-10 13:05:00,-6.14,-4.26,-2.07
2018-01-10 13:06:00,-6.16,-4.29,-2.08
2018-01-10 13:07:00,-6.17,-4.31,-2.08
