datetime,GSM_X_RE,GSM_Y_RE,GSM_Z_RE
2016-02-19 18:18:00,0.61,-0.95,0.02
2016-02-19 18:19:00,0.68,-0.91,0.05
2016-02-19 18:20:00,0.76,-0.86,0.08
2016-02-19 18:21:00,0.83,-0.8,0.11
2016-02-19 18:22:00,0.89,-0.74,0.13
2016-02-19 18:23:00,0.96,-0.69,0.16
2016-02-19 18:24:00,1.02,-0.62,0.19
2016-02-19 18:25:00,1.08,-0.56,0.22
2016-02-19 18:26:00,1.14,-0.5,0.24
2016-02-19 18:27:00,1.19,-0.43,0.27
2016-02-19 18:28:00,1.24,-0.36,0.29
2016-02-19 18:29:00,1.28,-0.29,0.32
2016-02-19 18:30:00,1.33,-0.22,0.34
2016-02-19 18:31:00,1.37,-0.16,0.36
2016-02-19 18:32:00,1.41,-0.09,0.39
2016-02-19 18:33:00,1.44,-0.02,0.41
2016-02-19 18:34:00,1.47,0.05,0.43
2016-02-19 18:35:00,1.51,0.12,0.45
2016-02-19 18:36:00,1.53,0.19,0.47
2016-02-19 18:37:00,1.56,0.26,0.49
2016-02-19 18:38:00,1.59,0.33,0.51
2016-02-19 18:39:00,1.61,0.4,0.53
2016-02-19 18:40:00,1.63,0.47,0.55
2016-02-19 18:41:00,1.65,0.53,0.56
2016-02-19 18:42:00,1.67,0.6,0.58
2016-02-19 18:43:00,1.69,0.67,0.6
2016-02-19 18:44:00,1.7,0.73,0.61
2016-02-19 18:45:00,1.72,0.8,0.63
2016-02-19 18:46:00,1.73,0.86,0.65
2016-02-19 18:47:00,1.74,0.93,0.66
2016-02-19 18:48:00,1.75,0.99,0.68
2016-02-19 18:49:00,1.76,1.05,0.69
2016-02-19 18:50:00,1.77,1.12,0.71
2016-02-19 18:51:00,1.78,1.18,0.72
2016-02-19 18:52:00,1.78,1.24,0.74
2016-02-19 18:53:00,1.79,1.3,0.75
2016-02-19 18:54:00,1.8,1.36,0.76
2016-02-19 18:55:00,1.8,1.42,0.78
2016-02-19 18:56:00,1.81,1.48,0.79
2016-02-19 18:57:00,1.81,1.54,0.8
2016-02-19 18:58:00,1.81,1.59,0.81
2016-02-19 18:59:00,1.81,1.65,0.83
2016-02-19 19:00:00,1.82,1.71,0.84
2016-02-19 19:01:00,1.82,1.76,0.85
2016-02-19 19:02:00,1.82,1.82,0.86
2016-02-19 19:03:00,1.82,1.87,0.88
2016-02-19 19:04:00,1.82,1.93,0.89
2016-02-19 19:05:00,1.82,1.98,0.9
2016-02-19 19:06:00,1.82,2.04,0.91
2016-02-19 19:07:00,1.81,2.09,0.92
2016-02-19 19:08:00,1.81,2.14,0.93
2016-02-19 19:09:00,1.81,2.19,0.94
2016-02-19 19:10:00,1.81,2.25,0.95
2016-02-19 19:11:00,1.8,2.3,0.96
2016-02-19 19:12:00,1.8,2.35,0.97
2016-02-19 19:13:00,1.8,2.4,0.98
2016-02-19 19:14:00,1.79,2.45,1.0
2016-02-19 19:15:00,1.79,2.5,1.01
2016-02-19 19:16:00,1.78,2.55,1.02
2016-02-19 19:17:00,1.78,2.6,1.03
2016-02-19 19:18:00,1.77,2.64,1.04
2016-02-19 19:19:00,1.77,2.69,1.04
2016-02-19 19:20:00,1.76,2.74,1.05
2016-02-19 19:21:00,1.75,2.79,1.06
2016-02-19 19:22:00,1.75,2.83,1.07
2016-02-19 19:23:00,1.74,2.88,1.08
2016-02-19 19:24:00,1.73,2.92,1.09
2016-02-19 19:25:00,1.73,2.97,1.1
2016-02-19 19:26:00,1.72,3.02,1.11
2016-02-19 19:27:00,1.71,3.06,1.12
2016-02-19 19:28:00,1.7,3.1,1.13
2016-02-19 19:29:00,1.7,3.15,1.14
2016-02-19 19:30:00,1.69,3.19,1.15
2016-02-19 19:31:00,1.68,3.24,1.16
2016-02-19 19:32:00,1.67,3.28,1.16
2016-02-19 19:33:00,1.66,3.32,1.17
2016-02-19 19:34:00,1.65,3.36,1.18
2016-02-19 19:35:00,1.65,3.41,1.19
2016-02-19 19:36:00,1.64,3.45,1.2
2016-02-19 19:37:00,1.63,3.49,1.21
2016-02-19 19:38:00,1.62,3.53,1.21
2016-02-19 19:39:00,1.61,3.57,1.22
2016-02-19 19:40:00,1.6,3.61,1.23
2016-02-19 19:41:00,1.59,3.65,1.24
2016-02-19 19:42:00,1.58,3.69,1.25
2016-02-19 19:43:00,1.57,3.73,1.26
2016-02-19 19:44:00,1.56,3.77,1.26
2016-02-19 19:45:00,1.55,3.81,1.27
2016-02-19 19:46:00,1.54,3.85,1.28
2016-02-19 19:47:00,1.53,3.89,1.29
2016-02-19 19:48:00,1.52,3.93,1.29
2016-02-19 19:49:00,1.51,3.97,1.3
2016-02-19 19:50:00,1.5,4.01,1.31
2016-02-19 19:51:00,1.49,4.04,1.32
2016-02-19 19:52:00,1.48,4.08,1.33
2016-02-19 19:53:00,1.47,4.12,1.33
2016-02-19 19:54:00,1.46,4.15,1.34
2016-02-19 19:55:00,1.45,4.19,1.35
2016-02-19 19:56:00,1.43,4.23,1.36
2016-02-19 19:57:00,1.42,4.26,1.36
2016-02-19 19:58:00,1.41,4.3,1.37
2016-02-19 19:59:00,1.4,4.34,1.38
2016-02-19 20:00:00,1.39,4.37,1.38
2016-02-19 20:01:00,1.38,4.41,1.39
2016-02-19 20:02:00,1.37,4.44,1.4
2016-02-19 20:03:00,1.36,4.48,1.41
2016-02-19 20:04:00,1.34,4.51,1.41
2016-02-19 20:05:00,1.33,4.55,1.42
2016-02-19 20:06:00,1.32,4.58,1.43
2016-02-19 20:07:00,1.31,4.62,1.43
2016-02-19 20:08:00,1.3,4.65,1.44
2016-02-19 20:09:00,1.28,4.68,1.45
2016-02-19 20:10:00,1.27,4.72,1.46
2016-02-19 20:11:00,1.26,4.75,1.46
2016-02-19 20:12:00,1.25,4.78,1.47
2016-02-19 20:13:00,1.24,4.82,1.48
2016-02-19 20:14:00,1.22,4.85,1.48
2016-02-19 20:15:00,1.21,4.88,1.49
2016-02-19 20:16:00,1.2,4.91,1.5
2016-02-19 20:17:00,1.19,4.95,1.5
2016-02-19 20:18:00,1.18,4.98,1.51
2016-02-19 20:19:00,1.16,5.01,1.52
