datetime,GSM_X_RE,GSM_Y_RE,GSM_Z_RE
2016-03-02 16:36:00,0.29,-1.1,-0.01
2016-03-02 16:37:00,0.37,-1.07,0.01
2016-03-02 16:38:00,0.46,-1.04,0.03
2016-03-02 16:39:00,0.55,-1.0,0.05
2016-03-02 16:40:00,0.63,-0.96,0.07
2016-03-02 16:41:00,0.71,-0.92,0.09
2016-03-02 16:42:00,0.79,-0.87,0.11
2016-03-02 16:43:00,0.86,-0.82,0.13
2016-03-02 16:44:00,0.93,-0.77,0.15
2016-03-02 16:45:00,1.0,-0.72,0.17
2016-03-02 16:46:00,1.07,-0.66,0.19
2016-03-02 16:47:00,1.13,-0.6,0.21
2016-03-02 16:48:00,1.19,-0.54,0.22
2016-03-02 16:49:00,1.25,-0.48,0.24
2016-03-02 16:50:00,1.31,-0.42,0.26
2016-03-02 16:51:00,1.36,-0.36,0.27
2016-03-02 16:52:00,1.41,-0.3,0.29
2016-03-02 16:53:00,1.46,-0.23,0.3
2016-03-02 16:54:00,1.5,-0.17,0.32
2016-03-02 16:55:00,1.55,-0.11,0.33
2016-03-02 16:56:00,1.59,-0.04,0.35
2016-03-02 16:57:00,1.63,0.02,0.36
2016-03-02 16:58:00,1.66,0.09,0.37
2016-03-02 16:59:00,1.7,0.15,0.39
2016-03-02 17:00:00,1.73,0.22,0.4
2016-03-02 17:01:00,1.77,0.28,0.41
2016-03-02 17:02:00,1.8,0.34,0.42
2016-03-02 17:03:00,1.82,0.41,0.43
2016-03-02 17:04:00,1.85,0.47,0.45
2016-03-02 17:05:00,1.88,0.53,0.46
2016-03-02 17:06:00,1.9,0.59,0.47
2016-03-02 17:07:00,1.93,0.66,0.48
2016-03-02 17:08:00,1.95,0.72,0.49
2016-03-02 17:09:00,1.97,0.78,0.5
2016-03-02 17:10:00,1.99,0.84,0.51
2016-03-02 17:11:00,2.01,0.9,0.52
2016-03-02 17:12:00,2.03,0.96,0.53
2016-03-02 17:13:00,2.04,1.02,0.54
2016-03-02 17:14:00,2.06,1.08,0.55
2016-03-02 17:15:00,2.08,1.13,0.56
2016-03-02 17:16:00,2.09,1.19,0.57
2016-03-02 17:17:00,2.1,1.25,0.58
2016-03-02 17:18:00,2.12,1.31,0.59
2016-03-02 17:19:00,2.13,1.36,0.6
2016-03-02 17:20:00,2.14,1.42,0.61
2016-03-02 17:21:00,2.15,1.47,0.62
